transaction_id,sale_date,customer_id,amount,channel
Q2-00001,2023-05-30,2924,152.54,In-Store
Q2-00002,2023-05-15,4377,113.71,Phone
Q2-00003,2023-06-26,31,234.15,In-Store
Q2-00004,2023-04-10,4985,151.39,In-Store
Q2-00005,2023-05-23,1921,362.13,In-Store
Q2-00006,2023-05-09,4852,192.17,In-Store
Q2-00007,2023-05-21,471,404.76,Phone
Q2-00008,2023-05-05,376,478.63,Phone
Q2-00009,2023-05-08,4564,218.55,Online
Q2-00010,2023-06-01,4090,284.1,Online
Q2-00011,2023-06-04,3218,153.02,In-Store
Q2-00012,2023-05-16,1845,462.91,Phone
Q2-00013,2023-05-26,3109,131.3,Online
Q2-00014,2023-06-14,4495,477.79,Phone
Q2-00015,2023-05-29,81,110.78,In-Store
Q2-00016,2023-04-18,3991,284.23,In-Store
Q2-00017,2023-06-29,3607,365.83,In-Store
Q2-00018,2023-06-21,4339,412.52,Phone
Q2-00019,2023-04-21,4568,207.37,Online
Q2-00020,2023-05-15,252,140.25,In-Store
Q2-00021,2023-06-06,3636,468.44,Online
Q2-00022,2023-05-03,803,54.46,Phone
Q2-00023,2023-06-13,4008,92.92,Online
Q2-00024,2023-05-07,2549,156.05,Phone
Q2-00025,2023-05-21,3224,107.98,In-Store
Q2-00026,2023-06-17,4047,359.49,Phone
Q2-00027,2023-06-13,2676,298.54,In-Store
Q2-00028,2023-06-18,3197,276.93,In-Store
Q2-00029,2023-06-15,3564,222.8,Online
Q2-00030,2023-05-09,540,268.99,Online
Q2-00031,2023-04-24,2924,447.92,Online
Q2-00032,2023-06-16,428,271.12,Phone
Q2-00033,2023-06-07,201,409.95,Phone
Q2-00034,2023-05-20,557,207.81,Online
Q2-00035,2023-04-30,4083,129.68,Online
Q2-00036,2023-04-03,2202,370.43,In-Store
Q2-00037,2023-05-04,222,68.92,In-Store
Q2-00038,2023-05-04,308,39.8,In-Store
Q2-00039,2023-05-01,3539,486.64,In-Store
Q2-00040,2023-06-15,3467,123.18,Online
Q2-00041,2023-06-07,2984,294.3,Online
Q2-00042,2023-04-14,418,80.18,In-Store
Q2-00043,2023-04-30,222,359.37,In-Store
Q2-00044,2023-06-15,3711,132.53,In-Store
Q2-00045,2023-04-27,4799,194.9,Phone
Q2-00046,2023-04-23,4915,297.29,Online
Q2-00047,2023-06-14,4769,9.54,Phone
Q2-00048,2023-04-29,344,325.11,Online
Q2-00049,2023-06-12,648,202.16,Online
Q2-00050,2023-06-17,4120,312.3,In-Store
Q2-00051,2023-05-27,619,384.73,Phone
Q2-00052,2023-06-03,2702,113.75,Phone
Q2-00053,2023-04-17,4561,455.95,Online
Q2-00054,2023-06-01,1298,310.46,Phone
Q2-00055,2023-05-09,1024,134.34,In-Store
Q2-00056,2023-04-24,3918,247.77,In-Store
Q2-00057,2023-05-06,2352,247.71,Phone
Q2-00058,2023-06-23,774,168.25,Online
Q2-00059,2023-04-01,822,44.34,Online
Q2-00060,2023-05-21,2151,157.03,Online
Q2-00061,2023-04-14,4919,461.71,Phone
Q2-00062,2023-04-09,877,135.41,Online
Q2-00063,2023-06-17,871,301.58,Online
Q2-00064,2023-04-22,3509,206.76,Phone
Q2-00065,2023-05-09,1339,188.93,Online
Q2-00066,2023-05-18,1076,431.23,Phone
Q2-00067,2023-04-06,2138,94.16,In-Store
Q2-00068,2023-04-26,1651,210.74,Online
Q2-00069,2023-04-18,2332,450.91,Online
Q2-00070,2023-04-14,1537,123.2,In-Store
Q2-00071,2023-04-09,884,20.15,Online
Q2-00072,2023-06-26,3686,472.54,Online
Q2-00073,2023-05-04,2668,226.45,Phone
Q2-00074,2023-04-25,3717,72.84,Online
Q2-00075,2023-05-23,2777,217.78,Online
Q2-00076,2023-04-19,2560,230.88,Phone
Q2-00077,2023-04-11,1684,52.73,Online
Q2-00078,2023-06-30,3000,185.25,In-Store
Q2-00079,2023-05-14,790,423.18,Phone
Q2-00080,2023-06-11,478,352.08,In-Store
Q2-00081,2023-06-07,3963,137.72,Phone
Q2-00082,2023-05-21,469,464.96,Phone
Q2-00083,2023-06-19,2148,249.27,Phone
Q2-00084,2023-04-27,3761,15.92,In-Store
Q2-00085,2023-04-08,4427,94.61,Phone
Q2-00086,2023-06-04,1788,237.87,Phone
Q2-00087,2023-05-02,424,330.14,Phone
Q2-00088,2023-05-19,4643,110.08,Phone
Q2-00089,2023-04-21,215,254.88,In-Store
Q2-00090,2023-04-04,3756,47.08,Phone
Q2-00091,2023-04-13,468,456.63,Phone
Q2-00092,2023-05-06,137,483.83,In-Store
Q2-00093,2023-06-21,4359,420.48,Phone
Q2-00094,2023-06-25,3316,401.78,Phone
Q2-00095,2023-05-07,1467,166.44,In-Store
Q2-00096,2023-04-08,3699,495.57,Online
Q2-00097,2023-04-23,3853,398.36,In-Store
Q2-00098,2023-06-29,4600,191.17,Phone
Q2-00099,2023-05-31,2643,223.83,In-Store
Q2-00100,2023-04-03,2171,39.78,Phone
Q2-00101,2023-06-25,4638,396.68,Phone
Q2-00102,2023-04-20,749,385.56,In-Store
Q2-00103,2023-06-20,857,29.69,Phone
Q2-00104,2023-06-25,842,81.95,Online
Q2-00105,2023-04-20,1063,249.28,Phone
Q2-00106,2023-06-10,146,42.63,Online
Q2-00107,2023-04-30,1482,454.22,In-Store
Q2-00108,2023-04-15,1887,447.42,Online
Q2-00109,2023-04-20,51,432.55,Phone
Q2-00110,2023-06-10,2222,20.59,Phone
Q2-00111,2023-06-27,2207,17.42,Phone
Q2-00112,2023-05-25,4966,395.27,In-Store
Q2-00113,2023-05-11,2659,405.01,In-Store
Q2-00114,2023-04-15,487,215.57,Phone
Q2-00115,2023-05-20,1564,73.09,Phone
Q2-00116,2023-05-26,3497,355.2,In-Store
Q2-00117,2023-06-20,4962,139.71,Online
Q2-00118,2023-05-19,2123,159.19,In-Store
