item_id,order_id,product_name,price
1,2174,Headset,1173.06
2,2241,Chair,554.2
3,2266,Monitor,20.21
4,2888,Laptop,513.86
5,1857,Desk,366.47
6,4839,Mouse,1419.42
7,1951,Monitor,17.62
8,577,Mouse,632.49
9,791,Headset,374.68
10,4470,Chair,1068.34
11,84,Monitor,917.18
12,3480,Keyboard,686.71
13,1335,Monitor,266.2
14,2706,Keyboard,913.96
15,3045,Mouse,581.6
16,592,Monitor,443.23
17,2298,Monitor,569.4
18,592,Chair,603.61
19,1667,Mouse,88.33
20,1139,Keyboard,812.56
21,3371,Mouse,415.4
22,4901,Laptop,472.87
23,3776,Monitor,776.74
24,3820,Monitor,202.94
25,4301,Laptop,1300.8
26,4006,Keyboard,613.89
27,2322,Laptop,875.07
28,4887,Keyboard,576.02
29,3974,Laptop,458.33
30,3618,Chair,275.63
31,3885,Monitor,152.94
32,2734,Desk,1469.14
33,1846,Monitor,360.89
34,3426,Mouse,427.83
35,705,Keyboard,863.94
36,4449,Desk,913.43
37,1817,Monitor,1300.78
38,3898,Monitor,997.47
39,118,Mouse,1049.12
40,3146,Monitor,1108.76
41,1324,Desk,576.96
42,1716,Headset,366.96
43,1541,Mouse,565.4
44,4789,Keyboard,348.04
45,2986,Headset,312.92
46,2946,Laptop,1215.71
47,19,Mouse,1144.92
48,1686,Mouse,1440.44
49,2430,Chair,888.7
50,4579,Desk,1388.87
51,3880,Laptop,645.21
52,1206,Keyboard,799.95
53,2785,Monitor,1349.63
54,4858,Mouse,656.95
55,3420,Headset,154.01
56,914,Desk,1245.93
57,3418,Chair,395.58
58,692,Keyboard,207.03
59,3141,Keyboard,555.86
60,1072,Monitor,971.62
61,2679,Headset,394.12
62,4742,Laptop,122.17
63,715,Headset,348.1
64,3934,Laptop,1160.85
65,814,Mouse,50.6
66,3034,Monitor,1252.94
67,2670,Monitor,831.7
68,2158,Headset,640.4
69,4297,Laptop,1364.91
70,3709,Headset,1216.32
71,810,Mouse,753.3
72,218,Keyboard,460.65
73,1331,Mouse,1031.85
74,2877,Keyboard,1250.11
75,2947,Headset,36.63
76,1779,Chair,1009.42
77,1994,Desk,1294.52
78,2161,Mouse,659.05
79,4382,Keyboard,364.82
80,4464,Desk,1195.97
81,1065,Monitor,1078.94
82,2447,Keyboard,19.65
83,2367,Keyboard,114.61
84,1303,Mouse,405.64
85,2099,Chair,1327.94
86,2014,Keyboard,536.82
87,4877,Headset,935.05
88,707,Monitor,361.58
89,3841,Keyboard,532.4
90,165,Desk,1180.1
91,262,Mouse,998.53
92,560,Mouse,1279.53
93,3347,Monitor,646.73
94,831,Headset,97.85
95,2496,Keyboard,735.65
96,1889,Laptop,494.72
97,330,Keyboard,1032.66
98,4478,Keyboard,83.51
99,4877,Laptop,909.07
100,2920,Keyboard,592.97
101,3979,Keyboard,1240.3
102,3036,Desk,1475.93
103,3921,Keyboard,683.55
104,1248,Keyboard,707.63
105,3395,Mouse,1163.58
106,4140,Monitor,372.26
107,1170,Keyboard,1371.47
108,369,Headset,309.33
109,3379,Mouse,949.91
110,1314,Monitor,477.57
111,871,Headset,1446.48
112,741,Chair,1312.44
113,3895,Chair,727.7
114,2629,Chair,993.79
115,3740,Headset,30.91
116,4337,Monitor,421.24
117,2860,Mouse,543.74
118,465,Mouse,61.6
119,4193,Desk,1332.3
120,4865,Mouse,1232.48
121,1626,Mouse,995.39
122,2299,Laptop,414.88
123,2461,Monitor,16.63
124,2531,Monitor,370.06
125,3740,Mouse,1033.42
126,1181,Headset,426.7
127,670,Desk,545.74
128,2927,Desk,1123.4
129,86,Monitor,170.59
130,3066,Monitor,426.26
131,1352,Chair,1341.48
132,1652,Monitor,1112.65
133,3998,Keyboard,1063.5
134,602,Keyboard,1182.97
135,1451,Monitor,38.89
136,4766,Desk,867.42
137,2977,Monitor,366.76
138,3052,Chair,778.75
139,1239,Monitor,725.07
140,1935,Desk,318.14
141,2649,Desk,1291.32
142,4390,Chair,462.93
143,2298,Desk,972.26
144,3120,Desk,197.68
145,2066,Desk,1049.1
146,2248,Monitor,1161.58
147,2961,Chair,1191.75
148,1183,Headset,194.34
149,2288,Monitor,932.53
150,2037,Laptop,118.67
151,3789,Mouse,97.52
152,4422,Desk,538.69
153,3698,Desk,1335.82
154,4694,Monitor,1104.73
155,3973,Monitor,1498.19
